Date,Close
2014-01-02,49.63999938964844
2014-01-03,49.59999847412109
2014-01-06,49.720001220703125
2014-01-07,49.84000015258789
2014-01-08,49.720001220703125
2014-01-09,49.7599983215332
2014-01-10,49.88999938964844
2014-01-13,49.93000030517578
2014-01-14,49.90999984741211
2014-01-15,49.88999938964844
2014-01-16,50.02000045776367
2014-01-17,50.060001373291016
2014-01-21,50.06999969482422
2014-01-22,49.9900016784668
2014-01-23,50.11000061035156
2014-01-24,50.209999084472656
2014-01-27,50.130001068115234
2014-01-28,50.16999816894531
2014-01-29,50.220001220703125
2014-01-30,50.2599983215332
2014-01-31,50.33000183105469
2014-02-03,50.34000015258789
2014-02-04,50.290000915527344
2014-02-05,50.290000915527344
2014-02-06,50.220001220703125
2014-02-07,50.29999923706055
2014-02-10,50.22999954223633
2014-02-11,50.2599983215332
2014-02-12,50.18000030517578
2014-02-13,50.31999969482422
2014-02-14,50.2599983215332
2014-02-18,50.31999969482422
2014-02-19,50.31999969482422
2014-02-20,50.09999847412109
2014-02-21,50.27000045776367
2014-02-24,50.27999877929688
2014-02-25,50.38999938964844
2014-02-26,50.459999084472656
2014-02-27,50.56999969482422
2014-02-28,50.5099983215332
2014-03-03,50.59000015258789
2014-03-04,50.4900016784668
2014-03-05,50.5
2014-03-06,50.43999862670898
2014-03-07,50.38999938964844
2014-03-10,50.41999816894531
2014-03-11,50.43999862670898
2014-03-12,50.5099983215332
2014-03-13,50.52999877929688
2014-03-14,50.54999923706055
2014-03-17,50.54999923706055
2014-03-18,50.56999969482422
2014-03-19,50.43999862670898
2014-03-20,50.41999816894531
2014-03-21,50.5
2014-03-24,50.540000915527344
2014-03-25,50.54999923706055
2014-03-26,50.59999847412109
2014-03-27,50.650001525878906
2014-03-28,50.59999847412109
2014-03-31,50.61000061035156
2014-04-01,50.5099983215332
2014-04-02,50.45000076293945
2014-04-03,50.52000045776367
2014-04-04,50.59999847412109
2014-04-07,50.650001525878906
2014-04-08,50.61000061035156
2014-04-09,50.59999847412109
2014-04-10,50.70000076293945
2014-04-11,50.77000045776367
2014-04-14,50.68999862670898
2014-04-15,50.81999969482422
2014-04-16,50.77000045776367
2014-04-17,50.68999862670898
2014-04-21,50.72999954223633
2014-04-22,50.72999954223633
2014-04-23,50.7400016784668
2014-04-24,50.7400016784668
2014-04-25,50.79999923706055
2014-04-28,50.75
2014-04-29,50.77000045776367
2014-04-30,50.84999847412109
2014-05-01,50.81999969482422
2014-05-02,50.83000183105469
2014-05-05,50.810001373291016
2014-05-06,50.84000015258789
2014-05-07,50.84000015258789
2014-05-08,50.90999984741211
2014-05-09,50.880001068115234
2014-05-12,50.86000061035156
2014-05-13,51.0
2014-05-14,51.040000915527344
2014-05-15,51.130001068115234
2014-05-16,51.040000915527344
2014-05-19,51.04999923706055
2014-05-20,51.0
2014-05-21,50.97999954223633
2014-05-22,50.959999084472656
2014-05-23,50.97999954223633
2014-05-27,51.08000183105469
2014-05-28,51.380001068115234
2014-05-29,51.18999862670898
2014-05-30,51.15999984741211
2014-06-02,51.09000015258789
2014-06-03,51.02999877929688
2014-06-04,50.93000030517578
2014-06-05,51.09000015258789
2014-06-06,51.20000076293945
2014-06-09,51.18999862670898
2014-06-10,51.15999984741211
2014-06-11,51.11000061035156
2014-06-12,51.18000030517578
2014-06-13,51.20000076293945
2014-06-16,51.18000030517578
2014-06-17,51.13999938964844
2014-06-18,51.18999862670898
2014-06-19,51.27999877929688
2014-06-20,51.18000030517578
2014-06-23,51.2599983215332
2014-06-24,51.290000915527344
2014-06-25,51.380001068115234
2014-06-26,51.41999816894531
2014-06-27,51.38999938964844
2014-06-30,51.40999984741211
2014-07-01,51.31999969482422
2014-07-02,51.27000045776367
2014-07-03,51.2400016784668
2014-07-07,51.31999969482422
2014-07-08,51.380001068115234
2014-07-09,51.369998931884766
2014-07-10,51.41999816894531
2014-07-11,51.459999084472656
2014-07-14,51.43000030517578
2014-07-15,51.45000076293945
2014-07-16,51.4900016784668
2014-07-17,51.59000015258789
2014-07-18,51.58000183105469
2014-07-21,51.59999847412109
2014-07-22,51.61000061035156
2014-07-23,51.650001525878906
2014-07-24,51.59000015258789
2014-07-25,51.68000030517578
2014-07-28,51.650001525878906
2014-07-29,51.72999954223633
2014-07-30,51.630001068115234
2014-07-31,51.61000061035156
2014-08-01,51.59999847412109
2014-08-04,51.630001068115234
2014-08-05,51.59000015258789
2014-08-06,51.59999847412109
2014-08-07,51.65999984741211
2014-08-08,51.72999954223633
2014-08-11,51.709999084472656
2014-08-12,51.709999084472656
2014-08-13,51.790000915527344
2014-08-14,51.86000061035156
2014-08-15,51.84999847412109
2014-08-18,51.84999847412109
2014-08-19,51.88999938964844
2014-08-20,51.900001525878906
2014-08-21,51.91999816894531
2014-08-22,51.97999954223633
2014-08-25,52.06999969482422
2014-08-26,52.11000061035156
2014-08-27,52.22999954223633
2014-08-28,52.25
2014-08-29,52.2400016784668
2014-09-02,52.02000045776367
2014-09-03,52.0099983215332
2014-09-04,52.0
2014-09-05,52.119998931884766
2014-09-08,52.060001373291016
2014-09-09,51.95000076293945
2014-09-10,51.93000030517578
2014-09-11,51.880001068115234
2014-09-12,51.79999923706055
2014-09-15,51.77000045776367
2014-09-16,51.84999847412109
2014-09-17,51.86000061035156
2014-09-18,51.84000015258789
2014-09-19,51.95000076293945
2014-09-22,52.02000045776367
2014-09-23,52.02999877929688
2014-09-24,52.0
2014-09-25,52.130001068115234
2014-09-26,52.08000183105469
2014-09-29,52.11000061035156
2014-09-30,52.11000061035156
2014-10-01,52.20000076293945
2014-10-02,52.15999984741211
2014-10-03,52.18999862670898
2014-10-06,52.16999816894531
2014-10-07,52.2599983215332
2014-10-08,52.27999877929688
2014-10-09,52.310001373291016
2014-10-10,52.27999877929688
2014-10-13,52.34999847412109
2014-10-14,52.380001068115234
2014-10-15,52.61000061035156
2014-10-16,52.33000183105469
2014-10-17,52.16999816894531
2014-10-20,52.2400016784668
2014-10-21,52.2400016784668
2014-10-22,52.22999954223633
2014-10-23,52.2400016784668
2014-10-24,52.220001220703125
2014-10-27,52.220001220703125
2014-10-28,52.220001220703125
2014-10-29,52.2400016784668
2014-10-30,52.29999923706055
2014-10-31,52.369998931884766
2014-11-03,52.29999923706055
2014-11-04,52.31999969482422
2014-11-05,52.310001373291016
2014-11-06,52.33000183105469
2014-11-07,52.36000061035156
2014-11-10,52.380001068115234
2014-11-11,52.369998931884766
2014-11-12,52.38999938964844
2014-11-13,52.400001525878906
2014-11-14,52.43999862670898
2014-11-17,52.470001220703125
2014-11-18,52.43999862670898
2014-11-19,52.38999938964844
2014-11-20,52.5
2014-11-21,52.560001373291016
2014-11-24,52.540000915527344
2014-11-25,52.70000076293945
2014-11-26,52.75
2014-11-28,52.77000045776367
2014-12-01,52.77999877929688
2014-12-02,52.66999816894531
2014-12-03,52.68000030517578
2014-12-04,52.650001525878906
2014-12-05,52.47999954223633
2014-12-08,52.560001373291016
2014-12-09,52.65999984741211
2014-12-10,52.810001373291016
2014-12-11,52.790000915527344
2014-12-12,52.86000061035156
2014-12-15,52.93000030517578
2014-12-16,53.040000915527344
2014-12-17,53.040000915527344
2014-12-18,52.97999954223633
2014-12-19,53.04999923706055
2014-12-22,53.119998931884766
2014-12-23,52.9900016784668
2014-12-24,52.959999084472656
2014-12-26,53.02000045776367
2014-12-29,53.08000183105469
2014-12-30,53.13999938964844
2014-12-31,53.11000061035156
2015-01-02,53.34999847412109
2015-01-05,53.33000183105469
2015-01-06,53.45000076293945
2015-01-07,53.40999984741211
2015-01-08,53.38999938964844
2015-01-09,53.36000061035156
2015-01-12,53.47999954223633
2015-01-13,53.52999877929688
2015-01-14,53.65999984741211
2015-01-15,53.40999984741211
2015-01-16,53.720001220703125
2015-01-20,53.70000076293945
2015-01-21,53.77999877929688
2015-01-22,53.709999084472656
2015-01-23,54.02999877929688
2015-01-26,53.959999084472656
2015-01-27,53.90999984741211
2015-01-28,54.02999877929688
2015-01-29,53.97999954223633
2015-01-30,54.060001373291016
2015-02-02,54.06999969482422
2015-02-03,53.95000076293945
2015-02-04,53.900001525878906
2015-02-05,53.79999923706055
2015-02-06,53.63999938964844
2015-02-09,53.61000061035156
2015-02-10,53.47999954223633
2015-02-11,53.630001068115234
2015-02-12,53.709999084472656
2015-02-13,53.59999847412109
2015-02-17,53.59000015258789
2015-02-18,53.52000045776367
2015-02-19,53.540000915527344
2015-02-20,53.56999969482422
2015-02-23,53.650001525878906
2015-02-24,53.72999954223633
2015-02-25,53.84999847412109
2015-02-26,53.86000061035156
2015-02-27,53.88999938964844
2015-03-02,53.70000076293945
2015-03-03,53.59000015258789
2015-03-04,53.59000015258789
2015-03-05,53.65999984741211
2015-03-06,53.540000915527344
2015-03-09,53.63999938964844
2015-03-10,53.83000183105469
2015-03-11,53.90999984741211
2015-03-12,53.90999984741211
2015-03-13,53.900001525878906
2015-03-16,53.720001220703125
2015-03-17,53.650001525878906
2015-03-18,53.900001525878906
2015-03-19,54.02000045776367
2015-03-20,54.06999969482422
2015-03-23,54.04999923706055
2015-03-24,54.02999877929688
2015-03-25,54.0099983215332
2015-03-26,53.970001220703125
